id,raw_text,label_mechanism,label_stage,label_category,corrective_strategy,risk_level,notes
1,Emotional regulation example 1: This demonstrates a naming-emotion strategy during emotional overload.,naming-emotion,regulation,affect,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
2,Emotional regulation example 2: This demonstrates a grounding-technique strategy during emotional overload.,grounding-technique,regulation,somatic,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
3,Emotional regulation example 3: This demonstrates a cognitive-reframe strategy during emotional overload.,cognitive-reframe,regulation,cognitive,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
4,Emotional regulation example 4: This demonstrates a breathing-pattern strategy during emotional overload.,breathing-pattern,regulation,somatic,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
5,Emotional regulation example 5: This demonstrates a self-soothing strategy during emotional overload.,self-soothing,regulation,emotional,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
6,Emotional regulation example 6: This demonstrates a needs-expression strategy during emotional overload.,needs-expression,regulation,communication,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
7,Emotional regulation example 7: This demonstrates a calming-script strategy during emotional overload.,calming-script,regulation,script,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
8,Emotional regulation example 8: This demonstrates a de-escalation-cue strategy during emotional overload.,de-escalation-cue,regulation,interaction,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
9,Emotional regulation example 9: This demonstrates a naming-emotion strategy during emotional overload.,naming-emotion,regulation,affect,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
10,Emotional regulation example 10: This demonstrates a grounding-technique strategy during emotional overload.,grounding-technique,regulation,somatic,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
11,Emotional regulation example 11: This demonstrates a cognitive-reframe strategy during emotional overload.,cognitive-reframe,regulation,cognitive,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
12,Emotional regulation example 12: This demonstrates a breathing-pattern strategy during emotional overload.,breathing-pattern,regulation,somatic,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
13,Emotional regulation example 13: This demonstrates a self-soothing strategy during emotional overload.,self-soothing,regulation,emotional,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
14,Emotional regulation example 14: This demonstrates a needs-expression strategy during emotional overload.,needs-expression,regulation,communication,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
15,Emotional regulation example 15: This demonstrates a calming-script strategy during emotional overload.,calming-script,regulation,script,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
16,Emotional regulation example 16: This demonstrates a de-escalation-cue strategy during emotional overload.,de-escalation-cue,regulation,interaction,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
17,Emotional regulation example 17: This demonstrates a naming-emotion strategy during emotional overload.,naming-emotion,regulation,affect,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
18,Emotional regulation example 18: This demonstrates a grounding-technique strategy during emotional overload.,grounding-technique,regulation,somatic,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
19,Emotional regulation example 19: This demonstrates a cognitive-reframe strategy during emotional overload.,cognitive-reframe,regulation,cognitive,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
20,Emotional regulation example 20: This demonstrates a breathing-pattern strategy during emotional overload.,breathing-pattern,regulation,somatic,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
21,Emotional regulation example 21: This demonstrates a self-soothing strategy during emotional overload.,self-soothing,regulation,emotional,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
22,Emotional regulation example 22: This demonstrates a needs-expression strategy during emotional overload.,needs-expression,regulation,communication,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
23,Emotional regulation example 23: This demonstrates a calming-script strategy during emotional overload.,calming-script,regulation,script,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
24,Emotional regulation example 24: This demonstrates a de-escalation-cue strategy during emotional overload.,de-escalation-cue,regulation,interaction,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
25,Emotional regulation example 25: This demonstrates a naming-emotion strategy during emotional overload.,naming-emotion,regulation,affect,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
26,Emotional regulation example 26: This demonstrates a grounding-technique strategy during emotional overload.,grounding-technique,regulation,somatic,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
27,Emotional regulation example 27: This demonstrates a cognitive-reframe strategy during emotional overload.,cognitive-reframe,regulation,cognitive,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
28,Emotional regulation example 28: This demonstrates a breathing-pattern strategy during emotional overload.,breathing-pattern,regulation,somatic,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
29,Emotional regulation example 29: This demonstrates a self-soothing strategy during emotional overload.,self-soothing,regulation,emotional,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
30,Emotional regulation example 30: This demonstrates a needs-expression strategy during emotional overload.,needs-expression,regulation,communication,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
31,Emotional regulation example 31: This demonstrates a calming-script strategy during emotional overload.,calming-script,regulation,script,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
32,Emotional regulation example 32: This demonstrates a de-escalation-cue strategy during emotional overload.,de-escalation-cue,regulation,interaction,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
33,Emotional regulation example 33: This demonstrates a naming-emotion strategy during emotional overload.,naming-emotion,regulation,affect,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
34,Emotional regulation example 34: This demonstrates a grounding-technique strategy during emotional overload.,grounding-technique,regulation,somatic,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
35,Emotional regulation example 35: This demonstrates a cognitive-reframe strategy during emotional overload.,cognitive-reframe,regulation,cognitive,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
36,Emotional regulation example 36: This demonstrates a breathing-pattern strategy during emotional overload.,breathing-pattern,regulation,somatic,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
37,Emotional regulation example 37: This demonstrates a self-soothing strategy during emotional overload.,self-soothing,regulation,emotional,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
38,Emotional regulation example 38: This demonstrates a needs-expression strategy during emotional overload.,needs-expression,regulation,communication,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
39,Emotional regulation example 39: This demonstrates a calming-script strategy during emotional overload.,calming-script,regulation,script,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
40,Emotional regulation example 40: This demonstrates a de-escalation-cue strategy during emotional overload.,de-escalation-cue,regulation,interaction,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
41,Emotional regulation example 41: This demonstrates a naming-emotion strategy during emotional overload.,naming-emotion,regulation,affect,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
42,Emotional regulation example 42: This demonstrates a grounding-technique strategy during emotional overload.,grounding-technique,regulation,somatic,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
43,Emotional regulation example 43: This demonstrates a cognitive-reframe strategy during emotional overload.,cognitive-reframe,regulation,cognitive,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
44,Emotional regulation example 44: This demonstrates a breathing-pattern strategy during emotional overload.,breathing-pattern,regulation,somatic,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
45,Emotional regulation example 45: This demonstrates a self-soothing strategy during emotional overload.,self-soothing,regulation,emotional,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
46,Emotional regulation example 46: This demonstrates a needs-expression strategy during emotional overload.,needs-expression,regulation,communication,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
47,Emotional regulation example 47: This demonstrates a calming-script strategy during emotional overload.,calming-script,regulation,script,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
48,Emotional regulation example 48: This demonstrates a de-escalation-cue strategy during emotional overload.,de-escalation-cue,regulation,interaction,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
49,Emotional regulation example 49: This demonstrates a naming-emotion strategy during emotional overload.,naming-emotion,regulation,affect,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
50,Emotional regulation example 50: This demonstrates a grounding-technique strategy during emotional overload.,grounding-technique,regulation,somatic,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
51,Emotional regulation example 51: This demonstrates a cognitive-reframe strategy during emotional overload.,cognitive-reframe,regulation,cognitive,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
52,Emotional regulation example 52: This demonstrates a breathing-pattern strategy during emotional overload.,breathing-pattern,regulation,somatic,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
53,Emotional regulation example 53: This demonstrates a self-soothing strategy during emotional overload.,self-soothing,regulation,emotional,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
54,Emotional regulation example 54: This demonstrates a needs-expression strategy during emotional overload.,needs-expression,regulation,communication,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
55,Emotional regulation example 55: This demonstrates a calming-script strategy during emotional overload.,calming-script,regulation,script,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
56,Emotional regulation example 56: This demonstrates a de-escalation-cue strategy during emotional overload.,de-escalation-cue,regulation,interaction,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
57,Emotional regulation example 57: This demonstrates a naming-emotion strategy during emotional overload.,naming-emotion,regulation,affect,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
58,Emotional regulation example 58: This demonstrates a grounding-technique strategy during emotional overload.,grounding-technique,regulation,somatic,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
59,Emotional regulation example 59: This demonstrates a cognitive-reframe strategy during emotional overload.,cognitive-reframe,regulation,cognitive,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
60,Emotional regulation example 60: This demonstrates a breathing-pattern strategy during emotional overload.,breathing-pattern,regulation,somatic,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
61,Emotional regulation example 61: This demonstrates a self-soothing strategy during emotional overload.,self-soothing,regulation,emotional,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
62,Emotional regulation example 62: This demonstrates a needs-expression strategy during emotional overload.,needs-expression,regulation,communication,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
63,Emotional regulation example 63: This demonstrates a calming-script strategy during emotional overload.,calming-script,regulation,script,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
64,Emotional regulation example 64: This demonstrates a de-escalation-cue strategy during emotional overload.,de-escalation-cue,regulation,interaction,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
65,Emotional regulation example 65: This demonstrates a naming-emotion strategy during emotional overload.,naming-emotion,regulation,affect,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
66,Emotional regulation example 66: This demonstrates a grounding-technique strategy during emotional overload.,grounding-technique,regulation,somatic,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
67,Emotional regulation example 67: This demonstrates a cognitive-reframe strategy during emotional overload.,cognitive-reframe,regulation,cognitive,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
68,Emotional regulation example 68: This demonstrates a breathing-pattern strategy during emotional overload.,breathing-pattern,regulation,somatic,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
69,Emotional regulation example 69: This demonstrates a self-soothing strategy during emotional overload.,self-soothing,regulation,emotional,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
70,Emotional regulation example 70: This demonstrates a needs-expression strategy during emotional overload.,needs-expression,regulation,communication,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
71,Emotional regulation example 71: This demonstrates a calming-script strategy during emotional overload.,calming-script,regulation,script,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
72,Emotional regulation example 72: This demonstrates a de-escalation-cue strategy during emotional overload.,de-escalation-cue,regulation,interaction,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
73,Emotional regulation example 73: This demonstrates a naming-emotion strategy during emotional overload.,naming-emotion,regulation,affect,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
74,Emotional regulation example 74: This demonstrates a grounding-technique strategy during emotional overload.,grounding-technique,regulation,somatic,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
75,Emotional regulation example 75: This demonstrates a cognitive-reframe strategy during emotional overload.,cognitive-reframe,regulation,cognitive,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
76,Emotional regulation example 76: This demonstrates a breathing-pattern strategy during emotional overload.,breathing-pattern,regulation,somatic,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
77,Emotional regulation example 77: This demonstrates a self-soothing strategy during emotional overload.,self-soothing,regulation,emotional,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
78,Emotional regulation example 78: This demonstrates a needs-expression strategy during emotional overload.,needs-expression,regulation,communication,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
79,Emotional regulation example 79: This demonstrates a calming-script strategy during emotional overload.,calming-script,regulation,script,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
80,Emotional regulation example 80: This demonstrates a de-escalation-cue strategy during emotional overload.,de-escalation-cue,regulation,interaction,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
81,Emotional regulation example 81: This demonstrates a naming-emotion strategy during emotional overload.,naming-emotion,regulation,affect,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
82,Emotional regulation example 82: This demonstrates a grounding-technique strategy during emotional overload.,grounding-technique,regulation,somatic,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
83,Emotional regulation example 83: This demonstrates a cognitive-reframe strategy during emotional overload.,cognitive-reframe,regulation,cognitive,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
84,Emotional regulation example 84: This demonstrates a breathing-pattern strategy during emotional overload.,breathing-pattern,regulation,somatic,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
85,Emotional regulation example 85: This demonstrates a self-soothing strategy during emotional overload.,self-soothing,regulation,emotional,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
86,Emotional regulation example 86: This demonstrates a needs-expression strategy during emotional overload.,needs-expression,regulation,communication,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
87,Emotional regulation example 87: This demonstrates a calming-script strategy during emotional overload.,calming-script,regulation,script,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
88,Emotional regulation example 88: This demonstrates a de-escalation-cue strategy during emotional overload.,de-escalation-cue,regulation,interaction,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
89,Emotional regulation example 89: This demonstrates a naming-emotion strategy during emotional overload.,naming-emotion,regulation,affect,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
90,Emotional regulation example 90: This demonstrates a grounding-technique strategy during emotional overload.,grounding-technique,regulation,somatic,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
91,Emotional regulation example 91: This demonstrates a cognitive-reframe strategy during emotional overload.,cognitive-reframe,regulation,cognitive,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
92,Emotional regulation example 92: This demonstrates a breathing-pattern strategy during emotional overload.,breathing-pattern,regulation,somatic,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
93,Emotional regulation example 93: This demonstrates a self-soothing strategy during emotional overload.,self-soothing,regulation,emotional,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
94,Emotional regulation example 94: This demonstrates a needs-expression strategy during emotional overload.,needs-expression,regulation,communication,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
95,Emotional regulation example 95: This demonstrates a calming-script strategy during emotional overload.,calming-script,regulation,script,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
96,Emotional regulation example 96: This demonstrates a de-escalation-cue strategy during emotional overload.,de-escalation-cue,regulation,interaction,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
97,Emotional regulation example 97: This demonstrates a naming-emotion strategy during emotional overload.,naming-emotion,regulation,affect,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
98,Emotional regulation example 98: This demonstrates a grounding-technique strategy during emotional overload.,grounding-technique,regulation,somatic,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
99,Emotional regulation example 99: This demonstrates a cognitive-reframe strategy during emotional overload.,cognitive-reframe,regulation,cognitive,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
100,Emotional regulation example 100: This demonstrates a breathing-pattern strategy during emotional overload.,breathing-pattern,regulation,somatic,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
101,Emotional regulation example 101: This demonstrates a self-soothing strategy during emotional overload.,self-soothing,regulation,emotional,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
102,Emotional regulation example 102: This demonstrates a needs-expression strategy during emotional overload.,needs-expression,regulation,communication,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
103,Emotional regulation example 103: This demonstrates a calming-script strategy during emotional overload.,calming-script,regulation,script,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
104,Emotional regulation example 104: This demonstrates a de-escalation-cue strategy during emotional overload.,de-escalation-cue,regulation,interaction,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
105,Emotional regulation example 105: This demonstrates a naming-emotion strategy during emotional overload.,naming-emotion,regulation,affect,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
106,Emotional regulation example 106: This demonstrates a grounding-technique strategy during emotional overload.,grounding-technique,regulation,somatic,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
107,Emotional regulation example 107: This demonstrates a cognitive-reframe strategy during emotional overload.,cognitive-reframe,regulation,cognitive,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
108,Emotional regulation example 108: This demonstrates a breathing-pattern strategy during emotional overload.,breathing-pattern,regulation,somatic,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
109,Emotional regulation example 109: This demonstrates a self-soothing strategy during emotional overload.,self-soothing,regulation,emotional,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
110,Emotional regulation example 110: This demonstrates a needs-expression strategy during emotional overload.,needs-expression,regulation,communication,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
111,Emotional regulation example 111: This demonstrates a calming-script strategy during emotional overload.,calming-script,regulation,script,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
112,Emotional regulation example 112: This demonstrates a de-escalation-cue strategy during emotional overload.,de-escalation-cue,regulation,interaction,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
113,Emotional regulation example 113: This demonstrates a naming-emotion strategy during emotional overload.,naming-emotion,regulation,affect,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
114,Emotional regulation example 114: This demonstrates a grounding-technique strategy during emotional overload.,grounding-technique,regulation,somatic,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
115,Emotional regulation example 115: This demonstrates a cognitive-reframe strategy during emotional overload.,cognitive-reframe,regulation,cognitive,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
116,Emotional regulation example 116: This demonstrates a breathing-pattern strategy during emotional overload.,breathing-pattern,regulation,somatic,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
117,Emotional regulation example 117: This demonstrates a self-soothing strategy during emotional overload.,self-soothing,regulation,emotional,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
118,Emotional regulation example 118: This demonstrates a needs-expression strategy during emotional overload.,needs-expression,regulation,communication,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
119,Emotional regulation example 119: This demonstrates a calming-script strategy during emotional overload.,calming-script,regulation,script,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
120,Emotional regulation example 120: This demonstrates a de-escalation-cue strategy during emotional overload.,de-escalation-cue,regulation,interaction,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
121,Emotional regulation example 121: This demonstrates a naming-emotion strategy during emotional overload.,naming-emotion,regulation,affect,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
122,Emotional regulation example 122: This demonstrates a grounding-technique strategy during emotional overload.,grounding-technique,regulation,somatic,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
123,Emotional regulation example 123: This demonstrates a cognitive-reframe strategy during emotional overload.,cognitive-reframe,regulation,cognitive,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
124,Emotional regulation example 124: This demonstrates a breathing-pattern strategy during emotional overload.,breathing-pattern,regulation,somatic,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
125,Emotional regulation example 125: This demonstrates a self-soothing strategy during emotional overload.,self-soothing,regulation,emotional,regulate + reduce arousal,low,Auto-generated emotional regulation micro-pattern.
